GBA Memory Map and Registers

0x06014000,OBJ_MODE4_VRAM
0x06014000,OBJ_MODE5_VRAM
0x06018000,OBJ_VRAM_END
0x06018000,VRAM_END
0x07000000,OAM
0x07000400,OAM_END
0x08000000,ROM_BANK0
0x0A000000,ROM_BANK0_END
0x0A000000,ROM_BANK1
0x0C000000,ROM_BANK1_END
0x0C000000,RAM_BANK
0x0C000000,ROM_BANK2
0x0E000000,ROM_BANK2_END
0x09FE2000,ICE_ROM
0x09FE4000,ICE_ROM_END
0x10000000,RAM_BANK_END
